UNITS,CBSA_NAME,SITE_LATITUDE,SITE_LONGITUDE,COUNTY,Daily Mean PM2.5 Concentration,STATE,Date
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.7,California,06/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.3,California,06/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5.8,California,06/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11.2,California,06/12/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10,California,06/13/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.6,California,06/14/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,5,California,06/15/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.5,California,06/16/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.6,California,06/17/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,3.5,California,06/18/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.2,California,06/19/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.8,California,06/20/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.1,California,06/21/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,11.4,California,06/22/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.9,California,06/23/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.5,California,06/24/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,8.5,California,06/25/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.4,California,06/26/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.7,California,06/27/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,9.9,California,06/28/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,13.9,California,06/29/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,15.3,California,06/30/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,16.2,California,07/01/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.2,California,07/02/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.8,California,07/03/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,10.3,California,07/04/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.8,California,07/05/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,7.5,California,07/06/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,4.1,California,07/07/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,2.8,California,07/08/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,2.4,California,07/09/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.5,California,07/10/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.8,California,07/11/2016
ug/m3 LC,San Francisco-Oakland-Hayward,37.687526,-121.784217,Alameda,6.4,California,07/12/2016
